,user,latitude,longitude
224,User_11,-23.701666,-46.59236
225,User_5733,-12.925799000000001,-38.485813
226,User_772,-23.571166,-46.663942999999996
227,User_257,-15.802307999999998,-47.948103
228,User_3516,-23.507378,-46.873556
229,User_48,-23.51304,-46.674786
230,User_5125,-22.431763,-46.823921
231,User_83,-3.083313,-60.013498
232,User_2047,-18.7192,-39.855259000000004
233,User_2821,-22.836615,-43.361795
234,User_2895,-23.687074,-46.551464
235,User_934,-12.967338999999999,-38.461934
236,User_2272,-30.113908000000002,-51.23033
237,User_3093,-23.554656,-46.614206
238,User_1154,-23.713261,-46.530848999999996
239,User_2479,-22.881732999999997,-47.231051
240,User_5192,-23.174044,-45.852329
241,User_5805,-23.556241,-46.567849
242,User_4042,-9.947777,-67.867429
243,User_726,-29.164434999999997,-51.515776
244,User_211,-9.375910000000001,-40.489703999999996
245,User_3632,-22.977248,-44.296519
246,User_47,-23.702599,-46.559191
247,User_2853,-25.540066,-49.259516
248,User_2528,-3.0341,-59.950452
249,User_3586,-22.959822,-43.029859
250,User_1126,-22.825943,-43.074158000000004
251,User_4016,-29.948835,-51.173305
252,User_3182,-20.320995,-40.336898
253,User_3519,-23.48781,-46.486927
254,User_3340,-23.481144,-46.538379
255,User_4815,-12.999156,-38.504721999999994
256,User_5407,-12.956774000000001,-38.501897
257,User_3222,-22.861144,-47.045966
258,User_1418,-12.914387,-38.335468
259,User_747,-20.280877,-40.295293
260,User_4535,-22.177903,-49.967874
261,User_799,-8.119446,-34.913219
262,User_2257,-18.583696,-49.202996
263,User_2563,-25.413006,-49.228638000000004
264,User_5645,-22.730066,-47.379038
265,User_3934,-11.417518,-40.300165
266,User_2524,-30.061836,-51.172098999999996
267,User_3794,-22.878045,-43.360413
268,User_929,-23.594098000000002,-46.616163
269,User_3442,-16.639588,-49.254962
270,User_3746,-15.794879000000002,-48.128498
271,User_4841,-19.340759,-42.156793
272,User_4676,-27.129261,-48.609128999999996
273,User_2256,-20.287309,-50.256175
274,User_907,-9.602523,-35.755815000000005
275,User_2879,-29.763903999999997,-57.08651700000001
276,User_1387,-30.024185,-51.220688
277,User_1248,-22.922539999999998,-43.616833
278,User_3140,-23.457751000000002,-52.023693
279,User_4773,-30.020846000000002,-52.911504
280,User_4225,-16.675223000000003,-49.285465
281,User_946,-23.433445000000003,-51.880990000000004
282,User_2061,-23.608879,-46.509895
283,User_2372,-23.178784,-45.847719
284,User_274,-23.619438,-46.683494
285,User_726,-23.517519,-46.706459
286,User_3401,-3.81949,-38.495011
287,User_564,-20.354613,-40.390749
288,User_2520,-16.72462,-49.240990000000004
289,User_3168,-22.876120999999998,-42.260849
290,User_19,-18.504456,-54.762593
291,User_4085,-15.915972,-48.06205
292,User_3989,-21.785182,-43.346633000000004
293,User_638,-8.041199,-50.023213
294,User_3088,-23.1705,-46.867959
295,User_2040,-23.528835,-46.655598
296,User_3512,-22.854782,-47.201553999999994
297,User_2878,-25.467660000000002,-49.190082000000004
298,User_673,-8.337488,-36.431768
299,User_3854,-7.033686,-34.834418
300,User_360,-20.907844,-47.570686
301,User_5364,-11.730369999999999,-49.066708
302,User_2105,-22.004260000000002,-47.425748999999996
303,User_559,-23.636402,-46.609163
304,User_2086,-23.503752,-47.115752
305,User_4462,-12.889063,-38.312419
306,User_2023,0.039585,-51.069564
307,User_2983,-22.889742000000002,-43.582296
308,User_3228,-9.963026,-67.838936
309,User_2038,-5.795623,-35.189083000000004
310,User_5262,-30.011883,-51.144627
311,User_4535,-23.63129,-46.502590000000005
312,User_4525,-22.482385,-42.204644
313,User_3030,-1.4690159999999999,-48.484927
314,User_5630,-22.901335999999997,-47.05256
315,User_2086,-22.874438,-43.445365
316,User_5026,-26.333954,-48.845368
317,User_1586,-15.822422,-48.112122
318,User_5613,-16.292089,-48.942581
319,User_4163,-22.922183,-43.187678000000005
320,User_1190,-23.165014000000003,-46.913548
321,User_1173,-18.921346,-48.197849
322,User_2245,-21.301339000000002,-50.360803999999995
323,User_5380,-22.761255,-43.402657
324,User_110,-4.283748999999999,-41.775634000000004
325,User_4936,-22.851385,-45.225079
326,User_4768,-10.926855999999999,-37.050273
327,User_5532,-23.540219,-46.576617999999996
328,User_5251,-12.783659,-38.388959
329,User_4227,-15.841451000000001,-48.024564
330,User_4080,-3.077856,-59.951995
331,User_3620,-6.761475,-38.222094
332,User_2410,-23.54052,-46.260976
333,User_772,-23.571009,-46.709478000000004
334,User_4726,-19.888771,-44.017447
335,User_5103,-12.918989,-38.364387
336,User_4074,-20.356918,-43.420019
337,User_4119,-23.030435,-44.163292
338,User_2032,-29.853732,-51.138068
339,User_2840,-22.814985,-43.246969
340,User_1826,-22.752132,-47.326833
341,User_1570,-4.8658589999999995,-43.355441
342,User_1982,-23.408742,-51.892165999999996
343,User_4050,-23.412574,-46.454068
344,User_1905,-16.6939,-49.212278000000005
345,User_5030,-5.042739,-42.821355
346,User_2757,-23.43505,-51.876958
347,User_2951,-26.332712,-48.868114
348,User_5775,-12.957885000000001,-38.492632
349,User_1187,-22.827513,-43.321247
350,User_2221,-25.431783,-49.269065999999995
351,User_2681,-8.063817,-34.895984999999996
352,User_4776,-23.72531,-46.690714
353,User_1283,-19.969954,-43.796821
354,User_5555,-3.0802110000000003,-60.062091
355,User_4184,-14.223017,-42.774538
356,User_2751,-23.44729,-47.482574
357,User_4469,-30.009209999999996,-51.181746999999994
358,User_3511,-23.410685,-46.499173
359,User_261,-23.546955,-46.64546
360,User_3043,-12.893835000000001,-38.327352000000005
361,User_5955,-23.530471,-46.606419
362,User_2843,-27.485471,-48.655164
363,User_462,-28.257203000000004,-52.413344
364,User_5971,-3.744847,-38.492971999999995
365,User_646,-23.520718,-46.454476
366,User_24,-25.535957999999997,-54.558277000000004
